a2jmidid 9-1
patch 2.7.6-8
pavucontrol 1:4.0-1
perl-image-exiftool 11.70-1
pgadmin4 4.15-1
picom 7.5-2
pip-tools 4.3.0-1
pkgconf 1.6.3-3
polari 3.34.0-1
polybar 3.4.1-1
postgresql 12.1-2
powerline-fonts 2.7-4
pulseaudio-bluetooth 13.0-2
pulseaudio-bluetooth-a2dp-gdm-fix 0.1-1
pulseaudio-jack 13.0-2
pulsemixer 1.5.0-2
pyenv 1.2.15-1
python-bottle 0.12.18-1
python-docker 4.1.0-3
python-greenlet 0.4.15-4
python-matplotlib 3.1.1-4
python-netifaces 0.10.9-3
python-pillow 6.2.1-1
python-pip 19.2.3-3
python-zeroconf 0.23.0-2
python2-greenlet 0.4.15-4
python2-pip 19.2.3-3
qjackctl 0.6.0-1
qsampler 0.6.0-1
qsynth 0.6.0-1
quadrapassel 3.34.1-1
ranger 1.9.2-2
realtime-privileges 2-1
rfc-read 0.2.6-1
rofi 1.5.4-1
rofi-menus-git 73a2e1e-1
rosegarden 19.06-1
rsync 3.1.3-1
rxvt-unicode-patched 9.22-11
rygel 0.38.3-1
scrot 1.2-1
sed 4.7-3
simple-scan 3.34.2-1
sl 5.02-5
slack-desktop 4.1.2-2
soundfont-fluid 3.1-2
sox 14.4.2-5
sshfs 3.6.0-1
steam 1.0.0.61-3
strace 5.4-1
sudo 1.8.29-1
sushi 3.34.0-1
swell-foop 3.34.1-1
sysprof 3.34.1-1
tali 3.32.1-1
taskbook 0.3.0-2
texinfo 6.7-2
tk 8.6.10-1
tmux 3.0_a-1
totem 3.34.1-1
tracker 2.3.0-2
tracker-miners 2.3.0-2
transmission-cli 2.94-2
transset-df 6-6
tree 1.8.0-1
ttf-liberation 2.00.5-2
ttf-nanum 2017-2
typora 0.9.81-1
unarchiver 1.10.1-8
upload-gphotos 3.1.0-2
urxvt-font-size-git 32-1
urxvt-perls 2.2-2
urxvt-resize-font-git 26.e966a5d-1
urxvt-tabbedex 0.4-3
usbutils 012-2
util-linux 2.34-8
vagrant 2.2.6-1
vifm 0.10.1-1
vim 8.1.2268-2
vino 3.22.0+60+gd29a4f2-1
virtualbox 6.0.14-4
virtualbox-ext-oracle 6.0.14-1
virtualbox-guest-utils 6.0.14-4
virtualbox-host-dkms 6.0.14-4
visual-studio-code-bin 1.40.2-1
vlc 3.0.8-6
vlc-plugin-fluidsynth 3.0.8-1
w3m 0.5.3.git20190105-1
which 2.21-5
wine 4.21-1
wine-mono 4.9.3-1
wine_gecko 2.47-2
winetricks 20190912-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-2
xclip 0.13-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xf86-input-synaptics 1.9.1-1
xf86-video-dummy 0.3.8-3
xf86-video-intel 1:2.99.917+897+g0867eea6-1
xf86-video-vesa 2.4.0-2
xinit-xsession 1-2
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.2-1
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.6-1
xorg-server-common 1.20.6-1
xorg-server-devel 1.20.6-1
xorg-server-xdmx 1.20.6-1
xorg-server-xephyr 1.20.6-1
xorg-server-xnest 1.20.6-1
xorg-server-xvfb 1.20.6-1
xorg-server-xwayland 1.20.6-1
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xfontsel 1.0.6-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xlsfonts 1.0.6-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
yarn 1.21.0-1
yay 9.4.2-1
yelp 3.34.0-1
zoom 3.5.330166.1202-1
zsh 5.7.1-1
zynaddsubfx 3.0.5-1
